province,health_issue,count
ชลบุรี,Mental Health Issues,
ชลบุรี,No Access to Healthcare Rights,
ชลบุรี,No Access to Treatment or Rehabilitation,
ชลบุรี,Severe Illness,
ชลบุรี,Substance Abuse,
ชลบุรี,nan,550.0
ชัยนาท,Bedridden,44.0
ชัยนาท,Chronic Illness,269.0
ชัยนาท,Cognitive Decline in Elderly,93.0
ชัยนาท,Dependent on Others for Daily Living,41.0
ชัยนาท,Depression,2.0
ชัยนาท,Impacted by AIDS,
ชัยนาท,Lack of Assistive Devices,60.0
ชัยนาท,Living with HIV/AIDS,2.0
ชัยนาท,Mental Health Issues,16.0
ชัยนาท,No Access to Healthcare Rights,2.0
ชัยนาท,No Access to Treatment or Rehabilitation,11.0
ชัยนาท,Severe Illness,8.0
ชัยนาท,Substance Abuse,
ชัยนาท,nan,9522.0
ชัยภูมิ,Bedridden,48.0
ชัยภูมิ,Chronic Illness,588.0
ชัยภูมิ,Cognitive Decline in Elderly,235.0
ชัยภูมิ,Dependent on Others for Daily Living,14.0
ชัยภูมิ,Depression,1.0
ชัยภูมิ,Impacted by AIDS,5.0
ชัยภูมิ,Lack of Assistive Devices,2.0
ชัยภูมิ,Living with HIV/AIDS,54.0
ชัยภูมิ,Mental Health Issues,22.0
ชัยภูมิ,No Access to Healthcare Rights,1.0
ชัยภูมิ,No Access to Treatment or Rehabilitation,3.0
ชัยภูมิ,Severe Illness,15.0
ชัยภูมิ,Substance Abuse,4.0
ชัยภูมิ,nan,20823.0
ชุมพร,Bedridden,62.0
ชุมพร,Chronic Illness,221.0
ชุมพร,Cognitive Decline in Elderly,56.0
ชุมพร,Dependent on Others for Daily Living,101.0
ชุมพร,Depression,3.0
ชุมพร,Impacted by AIDS,16.0
ชุมพร,Lack of Assistive Devices,4.0
ชุมพร,Living with HIV/AIDS,45.0
ชุมพร,Mental Health Issues,7.0
ชุมพร,No Access to Healthcare Rights,
ชุมพร,No Access to Treatment or Rehabilitation,2.0
ชุมพร,Severe Illness,25.0
ชุมพร,Substance Abuse,2.0
ชุมพร,nan,23186.0
เชียงราย,Bedridden,193.0
เชียงราย,Chronic Illness,1596.0
เชียงราย,Cognitive Decline in Elderly,674.0
เชียงราย,Dependent on Others for Daily Living,298.0
เชียงราย,Depression,25.0
เชียงราย,Impacted by AIDS,238.0
เชียงราย,Lack of Assistive Devices,100.0
เชียงราย,Living with HIV/AIDS,490.0
เชียงราย,Mental Health Issues,54.0
เชียงราย,No Access to Healthcare Rights,3.0
เชียงราย,No Access to Treatment or Rehabilitation,48.0
เชียงราย,Severe Illness,171.0
เชียงราย,Substance Abuse,6.0
เชียงราย,nan,32199.0
เชียงใหม่,Bedridden,140.0
เชียงใหม่,Chronic Illness,971.0
เชียงใหม่,Cognitive Decline in Elderly,445.0
เชียงใหม่,Dependent on Others for Daily Living,215.0
เชียงใหม่,Depression,43.0
เชียงใหม่,Impacted by AIDS,122.0
เชียงใหม่,Lack of Assistive Devices,67.0
เชียงใหม่,Living with HIV/AIDS,606.0
เชียงใหม่,Mental Health Issues,73.0
เชียงใหม่,No Access to Healthcare Rights,8.0
เชียงใหม่,No Access to Treatment or Rehabilitation,30.0
เชียงใหม่,Severe Illness,60.0
เชียงใหม่,Substance Abuse,9.0
เชียงใหม่,nan,52533.0
ตรัง,Bedridden,30.0
ตรัง,Chronic Illness,181.0
ตรัง,Cognitive Decline in Elderly,39.0
ตรัง,Dependent on Others for Daily Living,41.0
ตรัง,Depression,3.0
ตรัง,Impacted by AIDS,3.0
ตรัง,Lack of Assistive Devices,25.0
ตรัง,Living with HIV/AIDS,1.0
ตรัง,Mental Health Issues,10.0
ตรัง,No Access to Healthcare Rights,1.0
ตรัง,No Access to Treatment or Rehabilitation,8.0
ตรัง,Severe Illness,20.0
ตรัง,Substance Abuse,2.0
ตรัง,nan,23345.0
ตราด,Bedridden,
ตราด,Chronic Illness,1.0
ตราด,Cognitive Decline in Elderly,
ตราด,Dependent on Others for Daily Living,
ตราด,Depression,
ตราด,Impacted by AIDS,
ตราด,Lack of Assistive Devices,
ตราด,Living with HIV/AIDS,
ตราด,Mental Health Issues,
ตราด,No Access to Healthcare Rights,
ตราด,No Access to Treatment or Rehabilitation,
ตราด,Severe Illness,
ตราด,Substance Abuse,
ตราด,nan,60.0
ตาก,Bedridden,39.0
ตาก,Chronic Illness,351.0
ตาก,Cognitive Decline in Elderly,114.0
ตาก,Dependent on Others for Daily Living,29.0
ตาก,Depression,4.0
ตาก,Impacted by AIDS,
ตาก,Lack of Assistive Devices,29.0
ตาก,Living with HIV/AIDS,13.0
ตาก,Mental Health Issues,20.0
ตาก,No Access to Healthcare Rights,1.0
ตาก,No Access to Treatment or Rehabilitation,2.0
ตาก,Severe Illness,29.0
ตาก,Substance Abuse,1.0
ตาก,nan,28645.0
นครนายก,Bedridden,26.0
นครนายก,Chronic Illness,1928.0
นครนายก,Cognitive Decline in Elderly,210.0
นครนายก,Dependent on Others for Daily Living,18.0
นครนายก,Depression,
นครนายก,Impacted by AIDS,6.0
นครนายก,Lack of Assistive Devices,3.0
นครนายก,Living with HIV/AIDS,9.0
นครนายก,Mental Health Issues,8.0
นครนายก,No Access to Healthcare Rights,8.0
นครนายก,No Access to Treatment or Rehabilitation,1.0
นครนายก,Severe Illness,12.0
นครนายก,Substance Abuse,
นครนายก,nan,40453.0
นครปฐม,Bedridden,
นครปฐม,Chronic Illness,5.0
นครปฐม,Cognitive Decline in Elderly,2.0
นครปฐม,Dependent on Others for Daily Living,2.0
นครปฐม,Depression,
นครปฐม,Impacted by AIDS,
นครปฐม,Lack of Assistive Devices,
นครปฐม,Living with HIV/AIDS,11.0
นครปฐม,Mental Health Issues,
นครปฐม,No Access to Healthcare Rights,
นครปฐม,No Access to Treatment or Rehabilitation,
นครปฐม,Severe Illness,2.0
นครปฐม,Substance Abuse,
นครปฐม,nan,4854.0
นครพนม,Bedridden,33.0
นครพนม,Chronic Illness,476.0
นครพนม,Cognitive Decline in Elderly,257.0
นครพนม,Dependent on Others for Daily Living,58.0
นครพนม,Depression,13.0
นครพนม,Impacted by AIDS,1.0
นครพนม,Lack of Assistive Devices,26.0
นครพนม,Living with HIV/AIDS,9.0
นครพนม,Mental Health Issues,27.0
นครพนม,No Access to Healthcare Rights,4.0
นครพนม,No Access to Treatment or Rehabilitation,12.0
นครพนม,Severe Illness,32.0
นครพนม,Substance Abuse,2.0
นครพนม,nan,21143.0
นครราชสีมา,Bedridden,
นครราชสีมา,Chronic Illness,5.0
นครราชสีมา,Cognitive Decline in Elderly,
นครราชสีมา,Dependent on Others for Daily Living,
นครราชสีมา,Depression,
นครราชสีมา,Impacted by AIDS,
นครราชสีมา,Lack of Assistive Devices,
นครราชสีมา,Living with HIV/AIDS,
นครราชสีมา,Mental Health Issues,
นครราชสีมา,No Access to Healthcare Rights,
นครราชสีมา,No Access to Treatment or Rehabilitation,
นครราชสีมา,Severe Illness,
นครราชสีมา,Substance Abuse,
นครราชสีมา,nan,302.0
นครศรีธรรมราช,Bedridden,18.0
นครศรีธรรมราช,Chronic Illness,143.0
นครศรีธรรมราช,Cognitive Decline in Elderly,90.0
นครศรีธรรมราช,Dependent on Others for Daily Living,48.0
นครศรีธรรมราช,Depression,3.0
นครศรีธรรมราช,Impacted by AIDS,6.0
นครศรีธรรมราช,Lack of Assistive Devices,2.0
นครศรีธรรมราช,Living with HIV/AIDS,39.0
นครศรีธรรมราช,Mental Health Issues,7.0
นครศรีธรรมราช,No Access to Healthcare Rights,1.0
นครศรีธรรมราช,No Access to Treatment or Rehabilitation,1.0
นครศรีธรรมราช,Severe Illness,10.0
นครศรีธรรมราช,Substance Abuse,1.0
นครศรีธรรมราช,nan,53313.0
นครสวรรค์,Bedridden,82.0
นครสวรรค์,Chronic Illness,1375.0
นครสวรรค์,Cognitive Decline in Elderly,208.0
นครสวรรค์,Dependent on Others for Daily Living,38.0
นครสวรรค์,Depression,7.0
นครสวรรค์,Impacted by AIDS,1.0
นครสวรรค์,Lack of Assistive Devices,11.0
นครสวรรค์,Living with HIV/AIDS,4.0
นครสวรรค์,Mental Health Issues,15.0
นครสวรรค์,No Access to Healthcare Rights,
นครสวรรค์,No Access to Treatment or Rehabilitation,1.0
นครสวรรค์,Severe Illness,17.0
นครสวรรค์,Substance Abuse,2.0
นครสวรรค์,nan,33676.0
นนทบุรี,Bedridden,80.0
นนทบุรี,Chronic Illness,667.0
นนทบุรี,Cognitive Decline in Elderly,144.0
นนทบุรี,Dependent on Others for Daily Living,57.0
นนทบุรี,Depression,11.0
นนทบุรี,Impacted by AIDS,3.0
นนทบุรี,Lack of Assistive Devices,30.0
นนทบุรี,Living with HIV/AIDS,46.0
นนทบุรี,Mental Health Issues,31.0
นนทบุรี,No Access to Healthcare Rights,6.0
นนทบุรี,No Access to Treatment or Rehabilitation,23.0
นนทบุรี,Severe Illness,17.0
นนทบุรี,Substance Abuse,1.0
นนทบุรี,nan,12672.0
นราธิวาส,Bedridden,2.0
นราธิวาส,Chronic Illness,23.0
นราธิวาส,Cognitive Decline in Elderly,5.0
นราธิวาส,Dependent on Others for Daily Living,9.0
นราธิวาส,Depression,1.0
นราธิวาส,Impacted by AIDS,
นราธิวาส,Lack of Assistive Devices,3.0
นราธิวาส,Living with HIV/AIDS,
นราธิวาส,Mental Health Issues,8.0
นราธิวาส,No Access to Healthcare Rights,
นราธิวาส,No Access to Treatment or Rehabilitation,3.0
นราธิวาส,Severe Illness,2.0
นราธิวาส,Substance Abuse,
นราธิวาส,nan,1967.0
น่าน,Bedridden,126.0
น่าน,Chronic Illness,832.0
น่าน,Cognitive Decline in Elderly,202.0
น่าน,Dependent on Others for Daily Living,209.0
น่าน,Depression,25.0
น่าน,Impacted by AIDS,4.0
น่าน,Lack of Assistive Devices,11.0
น่าน,Living with HIV/AIDS,17.0
น่าน,Mental Health Issues,41.0
น่าน,No Access to Healthcare Rights,3.0
น่าน,No Access to Treatment or Rehabilitation,34.0
น่าน,Severe Illness,184.0
น่าน,Substance Abuse,7.0
น่าน,nan,12716.0
บึงกาฬ,Bedridden,45.0
บึงกาฬ,Chronic Illness,448.0
บึงกาฬ,Cognitive Decline in Elderly,80.0
บึงกาฬ,Dependent on Others for Daily Living,31.0
บึงกาฬ,Depression,4.0
บึงกาฬ,Impacted by AIDS,2.0
บึงกาฬ,Lack of Assistive Devices,16.0
บึงกาฬ,Living with HIV/AIDS,68.0
บึงกาฬ,Mental Health Issues,21.0
บึงกาฬ,No Access to Healthcare Rights,2.0
บึงกาฬ,No Access to Treatment or Rehabilitation,5.0
บึงกาฬ,Severe Illness,19.0
บึงกาฬ,Substance Abuse,8.0
บึงกาฬ,nan,13235.0
บุรีรัมย์,Bedridden,
บุรีรัมย์,Chronic Illness,7.0
บุรีรัมย์,Cognitive Decline in Elderly,3.0
บุรีรัมย์,Dependent on Others for Daily Living,
บุรีรัมย์,Depression,
บุรีรัมย์,Impacted by AIDS,
บุรีรัมย์,Lack of Assistive Devices,3.0
บุรีรัมย์,Living with HIV/AIDS,
บุรีรัมย์,Mental Health Issues,
บุรีรัมย์,No Access to Healthcare Rights,
บุรีรัมย์,No Access to Treatment or Rehabilitation,
บุรีรัมย์,Severe Illness,
บุรีรัมย์,Substance Abuse,
บุรีรัมย์,nan,2528.0
ปทุมธานี,Bedridden,279.0
ปทุมธานี,Chronic Illness,1558.0
ปทุมธานี,Cognitive Decline in Elderly,323.0
ปทุมธานี,Dependent on Others for Daily Living,137.0
ปทุมธานี,Depression,30.0
ปทุมธานี,Impacted by AIDS,153.0
ปทุมธานี,Lack of Assistive Devices,36.0
ปทุมธานี,Living with HIV/AIDS,491.0
ปทุมธานี,Mental Health Issues,118.0
ปทุมธานี,No Access to Healthcare Rights,22.0
ปทุมธานี,No Access to Treatment or Rehabilitation,28.0
ปทุมธานี,Severe Illness,70.0
ปทุมธานี,Substance Abuse,10.0
ปทุมธานี,nan,18036.0
ประจวบคีรีขันธ์,Bedridden,45.0
ประจวบคีรีขันธ์,Chronic Illness,637.0
ประจวบคีรีขันธ์,Cognitive Decline in Elderly,129.0
ประจวบคีรีขันธ์,Dependent on Others for Daily Living,40.0
ประจวบคีรีขันธ์,Depression,2.0
ประจวบคีรีขันธ์,Impacted by AIDS,1.0
ประจวบคีรีขันธ์,Lack of Assistive Devices,3.0
ประจวบคีรีขันธ์,Living with HIV/AIDS,12.0
ประจวบคีรีขันธ์,Mental Health Issues,4.0
ประจวบคีรีขันธ์,No Access to Healthcare Rights,
ประจวบคีรีขันธ์,No Access to Treatment or Rehabilitation,
ประจวบคีรีขันธ์,Severe Illness,24.0
ประจวบคีรีขันธ์,Substance Abuse,2.0
ประจวบคีรีขันธ์,nan,5416.0
ปราจีนบุรี,Bedridden,5.0
ปราจีนบุรี,Chronic Illness,31.0
ปราจีนบุรี,Cognitive Decline in Elderly,13.0
ปราจีนบุรี,Dependent on Others for Daily Living,5.0
ปราจีนบุรี,Depression,6.0
ปราจีนบุรี,Impacted by AIDS,
ปราจีนบุรี,Lack of Assistive Devices,6.0
ปราจีนบุรี,Living with HIV/AIDS,1.0
ปราจีนบุรี,Mental Health Issues,
ปราจีนบุรี,No Access to Healthcare Rights,2.0
ปราจีนบุรี,No Access to Treatment or Rehabilitation,1.0
ปราจีนบุรี,Severe Illness,2.0
ปราจีนบุรี,Substance Abuse,
ปราจีนบุรี,nan,3336.0
ปัตตานี,Bedridden,27.0
ปัตตานี,Chronic Illness,225.0
ปัตตานี,Cognitive Decline in Elderly,78.0
ปัตตานี,Dependent on Others for Daily Living,17.0
ปัตตานี,Depression,4.0
ปัตตานี,Impacted by AIDS,
ปัตตานี,Lack of Assistive Devices,
ปัตตานี,Living with HIV/AIDS,4.0
ปัตตานี,Mental Health Issues,21.0
ปัตตานี,No Access to Healthcare Rights,2.0
ปัตตานี,No Access to Treatment or Rehabilitation,2.0
ปัตตานี,Severe Illness,5.0
ปัตตานี,Substance Abuse,6.0
ปัตตานี,nan,26344.0
พระนครศรีอยุธยา,Bedridden,73.0
พระนครศรีอยุธยา,Chronic Illness,788.0
พระนครศรีอยุธยา,Cognitive Decline in Elderly,104.0
พระนครศรีอยุธยา,Dependent on Others for Daily Living,62.0
พระนครศรีอยุธยา,Depression,2.0
พระนครศรีอยุธยา,Impacted by AIDS,
พระนครศรีอยุธยา,Lack of Assistive Devices,16.0
พระนครศรีอยุธยา,Living with HIV/AIDS,1.0
พระนครศรีอยุธยา,Mental Health Issues,21.0
พระนครศรีอยุธยา,No Access to Healthcare Rights,1.0
พระนครศรีอยุธยา,No Access to Treatment or Rehabilitation,4.0
พระนครศรีอยุธยา,Severe Illness,15.0
พระนครศรีอยุธยา,Substance Abuse,4.0
พระนครศรีอยุธยา,nan,13211.0
พะเยา,Bedridden,87.0
พะเยา,Chronic Illness,860.0
พะเยา,Cognitive Decline in Elderly,255.0
พะเยา,Dependent on Others for Daily Living,116.0
พะเยา,Depression,10.0
พะเยา,Impacted by AIDS,5.0
พะเยา,Lack of Assistive Devices,69.0
พะเยา,Living with HIV/AIDS,94.0
พะเยา,Mental Health Issues,64.0
พะเยา,No Access to Healthcare Rights,12.0
พะเยา,No Access to Treatment or Rehabilitation,73.0
พะเยา,Severe Illness,70.0
พะเยา,Substance Abuse,5.0
พะเยา,nan,14868.0
พังงา,Bedridden,43.0
พังงา,Chronic Illness,577.0
พังงา,Cognitive Decline in Elderly,76.0
พังงา,Dependent on Others for Daily Living,65.0
พังงา,Depression,18.0
พังงา,Impacted by AIDS,1.0
พังงา,Lack of Assistive Devices,7.0
พังงา,Living with HIV/AIDS,17.0
พังงา,Mental Health Issues,25.0
พังงา,No Access to Healthcare Rights,
พังงา,No Access to Treatment or Rehabilitation,10.0
พังงา,Severe Illness,23.0
พังงา,Substance Abuse,1.0
พังงา,nan,10032.0
พัทลุง,Bedridden,22.0
พัทลุง,Chronic Illness,104.0
พัทลุง,Cognitive Decline in Elderly,35.0
พัทลุง,Dependent on Others for Daily Living,174.0
พัทลุง,Depression,4.0
พัทลุง,Impacted by AIDS,
พัทลุง,Lack of Assistive Devices,5.0
พัทลุง,Living with HIV/AIDS,9.0
พัทลุง,Mental Health Issues,15.0
พัทลุง,No Access to Healthcare Rights,
พัทลุง,No Access to Treatment or Rehabilitation,5.0
พัทลุง,Severe Illness,7.0
พัทลุง,Substance Abuse,2.0
พัทลุง,nan,18078.0
พิจิตร,Bedridden,52.0
พิจิตร,Chronic Illness,627.0
พิจิตร,Cognitive Decline in Elderly,162.0
พิจิตร,Dependent on Others for Daily Living,48.0
พิจิตร,Depression,1.0
พิจิตร,Impacted by AIDS,
พิจิตร,Lack of Assistive Devices,21.0
พิจิตร,Living with HIV/AIDS,11.0
พิจิตร,Mental Health Issues,33.0
พิจิตร,No Access to Healthcare Rights,
พิจิตร,No Access to Treatment or Rehabilitation,4.0
พิจิตร,Severe Illness,26.0
พิจิตร,Substance Abuse,3.0
พิจิตร,nan,14059.0
พิษณุโลก,Bedridden,72.0
พิษณุโลก,Chronic Illness,1321.0
พิษณุโลก,Cognitive Decline in Elderly,172.0
พิษณุโลก,Dependent on Others for Daily Living,70.0
พิษณุโลก,Depression,1.0
พิษณุโลก,Impacted by AIDS,
พิษณุโลก,Lack of Assistive Devices,6.0
พิษณุโลก,Living with HIV/AIDS,58.0
พิษณุโลก,Mental Health Issues,14.0
พิษณุโลก,No Access to Healthcare Rights,
พิษณุโลก,No Access to Treatment or Rehabilitation,21.0
พิษณุโลก,Severe Illness,12.0
พิษณุโลก,Substance Abuse,2.0
พิษณุโลก,nan,27492.0
เพชรบุรี,Bedridden,34.0
เพชรบุรี,Chronic Illness,439.0
เพชรบุรี,Cognitive Decline in Elderly,479.0
เพชรบุรี,Dependent on Others for Daily Living,13.0
เพชรบุรี,Depression,1.0
เพชรบุรี,Impacted by AIDS,1.0
เพชรบุรี,Lack of Assistive Devices,3.0
เพชรบุรี,Living with HIV/AIDS,2.0
เพชรบุรี,Mental Health Issues,2.0
เพชรบุรี,No Access to Healthcare Rights,
เพชรบุรี,No Access to Treatment or Rehabilitation,2.0
เพชรบุรี,Severe Illness,10.0
เพชรบุรี,Substance Abuse,
เพชรบุรี,nan,6289.0
เพชรบูรณ์,Bedridden,145.0
เพชรบูรณ์,Chronic Illness,668.0
เพชรบูรณ์,Cognitive Decline in Elderly,329.0
เพชรบูรณ์,Dependent on Others for Daily Living,152.0
เพชรบูรณ์,Depression,17.0
เพชรบูรณ์,Impacted by AIDS,7.0
เพชรบูรณ์,Lack of Assistive Devices,19.0
เพชรบูรณ์,Living with HIV/AIDS,24.0
เพชรบูรณ์,Mental Health Issues,99.0
เพชรบูรณ์,No Access to Healthcare Rights,
เพชรบูรณ์,No Access to Treatment or Rehabilitation,5.0
เพชรบูรณ์,Severe Illness,60.0
เพชรบูรณ์,Substance Abuse,3.0
เพชรบูรณ์,nan,19087.0
แพร่,Bedridden,47.0
แพร่,Chronic Illness,1092.0
แพร่,Cognitive Decline in Elderly,631.0
แพร่,Dependent on Others for Daily Living,29.0
แพร่,Depression,2.0
แพร่,Impacted by AIDS,3.0
แพร่,Lack of Assistive Devices,4.0
แพร่,Living with HIV/AIDS,11.0
แพร่,Mental Health Issues,7.0
แพร่,No Access to Healthcare Rights,5.0
แพร่,No Access to Treatment or Rehabilitation,2.0
แพร่,Severe Illness,51.0
แพร่,Substance Abuse,1.0
แพร่,nan,8015.0
ภูเก็ต,Bedridden,36.0
ภูเก็ต,Chronic Illness,308.0
ภูเก็ต,Cognitive Decline in Elderly,30.0
ภูเก็ต,Dependent on Others for Daily Living,30.0
ภูเก็ต,Depression,10.0
ภูเก็ต,Impacted by AIDS,17.0
ภูเก็ต,Lack of Assistive Devices,10.0
ภูเก็ต,Living with HIV/AIDS,108.0
ภูเก็ต,Mental Health Issues,15.0
ภูเก็ต,No Access to Healthcare Rights,1.0
ภูเก็ต,No Access to Treatment or Rehabilitation,4.0
ภูเก็ต,Severe Illness,30.0
ภูเก็ต,Substance Abuse,6.0
ภูเก็ต,nan,11378.0
มหาสารคาม,Bedridden,14.0
มหาสารคาม,Chronic Illness,69.0
มหาสารคาม,Cognitive Decline in Elderly,23.0
มหาสารคาม,Dependent on Others for Daily Living,9.0
มหาสารคาม,Depression,4.0
มหาสารคาม,Impacted by AIDS,1.0
มหาสารคาม,Lack of Assistive Devices,1.0
มหาสารคาม,Living with HIV/AIDS,55.0
มหาสารคาม,Mental Health Issues,9.0
มหาสารคาม,No Access to Healthcare Rights,
มหาสารคาม,No Access to Treatment or Rehabilitation,1.0
มหาสารคาม,Severe Illness,3.0
มหาสารคาม,Substance Abuse,5.0
มหาสารคาม,nan,27242.0
มุกดาหาร,Bedridden,30.0
มุกดาหาร,Chronic Illness,119.0
มุกดาหาร,Cognitive Decline in Elderly,106.0
มุกดาหาร,Dependent on Others for Daily Living,12.0
มุกดาหาร,Depression,6.0
มุกดาหาร,Impacted by AIDS,1.0
มุกดาหาร,Lack of Assistive Devices,14.0
มุกดาหาร,Living with HIV/AIDS,3.0
มุกดาหาร,Mental Health Issues,15.0
มุกดาหาร,No Access to Healthcare Rights,1.0
มุกดาหาร,No Access to Treatment or Rehabilitation,4.0
มุกดาหาร,Severe Illness,24.0
มุกดาหาร,Substance Abuse,2.0
มุกดาหาร,nan,15251.0
แม่ฮ่องสอน,Bedridden,36.0
แม่ฮ่องสอน,Chronic Illness,483.0
แม่ฮ่องสอน,Cognitive Decline in Elderly,120.0
แม่ฮ่องสอน,Dependent on Others for Daily Living,74.0
แม่ฮ่องสอน,Depression,13.0
แม่ฮ่องสอน,Impacted by AIDS,3.0
แม่ฮ่องสอน,Lack of Assistive Devices,5.0
แม่ฮ่องสอน,Living with HIV/AIDS,38.0
แม่ฮ่องสอน,Mental Health Issues,23.0
แม่ฮ่องสอน,No Access to Healthcare Rights,2.0
แม่ฮ่องสอน,No Access to Treatment or Rehabilitation,
แม่ฮ่องสอน,Severe Illness,16.0
แม่ฮ่องสอน,Substance Abuse,3.0
แม่ฮ่องสอน,nan,8606.0
ยโสธร,Bedridden,6.0
ยโสธร,Chronic Illness,120.0
ยโสธร,Cognitive Decline in Elderly,124.0
ยโสธร,Dependent on Others for Daily Living,20.0
ยโสธร,Depression,
ยโสธร,Impacted by AIDS,
ยโสธร,Lack of Assistive Devices,3.0
ยโสธร,Living with HIV/AIDS,
